用户兴趣类别,标签,用户ID(oid)
星座, 十二星座 水瓶座 星座运势 射手座 天蝎座 双鱼座 狮子座 处女座 双子座 白羊座 ,3139407667
星座, 学生 80后 90后 生肖 双鱼 白羊 射手 运势 星座 情感 ,1775767857
星座,宗教 情感 占卜 心理测试 八字命理 风水 五行 生肖 时尚 星座 ,2461933493
星座,占卜 女人 星座,2517727895
星座, 塔罗牌 塔罗牌爱好者 星盘 星座控 星座,5318321078
星座,星座 命理 占星 情感,2158697171
星座,星座运程 星座运势 星座图片 心理测试 塔罗牌 十二星座 星座资讯 星座娱乐 星座八卦 星座命理 ,2813484784
星座, 国学 测试 运势 时尚 爱情 风水 禅 星座 命理 语录 ,2615582781
星座, 星座达人 星座迷 星座控 星座与心理 星座秘语 星座占卜 星座专家 星座运势 12星座 星座爱情001 ,1769817834
星座,双鱼座 摩羯座 双子座 水瓶座 处女座 天秤座 金牛座 天蝎座 情感 星座 ,2302770114
星座, 白羊座 摩羯座 巨蟹座 射手座 双子座 处女座 水瓶座 十二星座 999封信 星座 ,2365814954
星座,宗教 情感 心里测试 占卜,24619334993
星座, 80后 90后 宅 占卜 生肖 血型 占星 星座,1735618041
星座, 娱乐 占卜 女性 音乐 时尚 星座 命理 生肖 血型 占星 ,1733779624
星座,星座命理 星座 时尚 动漫 摄影 睡觉 自由 美食 ,2154332097
星座,恋爱 影讯 小资 星座命理,2715783111
星座, 星座命理 孤单寂寞又落寞 孤单 你一直很孤单吧 ,1681831471
星座, 傻 旅遊 爱音乐 写作 星座爱好者 星座 ,2245234633
星座,网购 善良 平常心 大学生 游戏 天秤座 运动 搞笑 ,1890618202
星座, 模特 街拍 服装搭配 女性时尚 时尚潮流 美容护肤 淘宝购物 宅女 星座达人 星座控 ,2615569177
星座,经典 雷人 语录 浪漫 教育 NBA 足球 偶喜欢玩 摄影 大学生 ,1190049077
星座,占卜 女人 星座 ,2517727895
星座,占卜师 爱情 运势 星座控 星座迷 ,3632285715
星座,星座命理 旅游 电影 美食 美容 时尚 爱情 语录 冷笑话 星座 ,1836328250
星座,漫画 情感 星座 ,2416648580
星座,星座命理 星座运势 巨蟹座 微博 敏感 坚强 宠物图集 ,3897471499
星座, 文艺 靠谱女青年 大爱复古 巨蟹座 ,1949171560
星座,星座命理 星座占卜 星座塔罗迷 星座达人 星座运势 护肤彩妆 时尚生活 混搭范儿 甜蜜教主 健身控 ,1757497871
星座,机智的我 激萌的我 星座运势 砖家 ,3340000692
星座,搞笑 十二星座 原创视频 星座 ,5391732796
