用户兴趣类别,标签,用户ID(oid)
游戏,射手女 旅游 我爱UC浏览器 电影 听歌 音乐 万州第三中学 万州人 90后 北京师范大学珠 ,1672384324
游戏,游戏 搞笑幽默,5831237301
游戏,2013LPL冠军 国服第一上单 英雄联盟 职业玩家 ,5746403289
游戏,游戏 动漫,2198328875
游戏,经典语录 美术绘画 游戏策划 创新思维 创意生活 插画手绘 娱乐八卦 时尚摄影 搞笑幽默 艺术设计 ,2182850852
游戏,中二少女 未闻花名 新番 萌控 小清新 爱音乐 爱自由 ,2113843614
游戏,美图摄影 体育资讯 ,5454389200
游戏,游戏 社交游戏 微博 手游 电竞 搞笑,5126161537
游戏,手游 互联网高管 测评 软件 游戏 宅腐 app 动漫 ,3312626093
游戏, 娱乐 游戏 手机 微游戏 手游,2349227985
游戏, 微游戏 游戏达人 游戏控 game 游戏 网页游戏 社交游戏 棋牌游戏 新浪,2218712947
游戏, 游戏 单机游戏 手机游戏 网页游戏 線上遊戲 大宇资讯,2831625980
游戏, 电玩达人 手游 网络游戏 游戏达人 游戏迷,1255795640
游戏, DOTA视频 DOTA外设 DOTA美眉 DOTA2 电子竞技 游戏 DOTA DOTA游戏联盟,1784404677
游戏, 游戏 活动,2188775873
游戏,移动互联网 游戏 手机 娱乐 企业,3075653705
游戏,金山软件 西山居 剑侠情缘 游戏 网游 剑侠世界 剑网3 手游,2074833864
游戏, 单机游戏 游戏制作人 电影 时尚 CG 中日项目管理 出版 周边,1245629753
游戏, 网络游戏 手机游戏 VR游戏 暴雪游戏 口袋妖怪GO 剑网三 剑灵 英雄联盟 网页游戏,1893762192
游戏, 英伟达 显卡 视觉运算 GeForce Tegra 智能手机 平板电脑 移动计算 NVIDIA GPU,1715001194
游戏, 游戏动漫 优惠 折扣 打折 游戏 PC游戏 亚马逊 Amazon Steam ,2843484730
游戏,游戏动漫 旅游 美食 娱乐 文艺 七宗罪,1464041460
游戏, 神经质 玩 手机 ,5887973569
游戏,哲学 中华文化 道 读书 禅 时事 历史 财经 股票 幽默 ,1298535315
游戏, LOL 英雄联盟 娱乐,2079468590
游戏,搞笑 幽默,5444117278
游戏, 音乐达人 音乐发烧友 fashion 娱乐 ,3161617794
游戏,时装 建筑 辽宁生活 热情 苏州生活 网球 健康 美食 体育 ,3090408784
游戏,自媒体 北京生活,5794269312
