用户兴趣类别,标签,用户ID(oid)
音乐, 高清 live 插曲 MV 音乐 HD 娱乐,1774817377
音乐, 爱音乐 钢琴 欧美音乐 纯音乐 小提琴 流行音乐 经典音乐 爵士 摇滚 民谣,1895291251
音乐, 姜昕 许巍 何勇 reggae 太极拳爱好者 制作人 龙神道 键盘手 自由音乐家,2030232621
音乐, 日韩流行音乐 港台流行音乐 华语流行音乐 演唱会 音乐 音乐精选,5532072579
音乐,名人明星 视频音乐,3876128134
音乐, 蜜蜂少女队 音乐舞蹈 明星名人,5873553397
音乐, MUSIC LOVE PEACE ART CREATIVEFAITH,1316224750
音乐, 专栏作家 旅行博主 旅行达人 时尚博主 乐队主唱 音乐人 民谣 时尚达人 知名博主 电影人,1655847780
音乐, musicwars billboard 英文歌 taylorswift 艾薇儿 布兰妮 欧美音乐 文艺 名人明星,3460516424
音乐,五月天 Yundi Toma Tomo,2176931977
音乐, 听音乐 读书 80後 英语 粤语 旅游爱好者 美食爱好者,2542464410
音乐,TaylorSwift Adele ArianaGrande Katyperry 电影资讯 明星写真 MV 欧美音乐 LuvDC 欧美流行音乐,2792589472
音乐, 歌手 古风,5651496966
音乐,墨明棋妙 猛虎蔷薇,1750134734
音乐,歌曲 听歌 电影 摇滚 音乐榜 明星 欧美 娱乐 音乐 HIPHOP,1674242970
音乐,MUSIC LOVE PEACE ART CREATIVE FAITH,1316224750
音乐,志愿者 谭晶 音乐 公益 文化,1795572035
音乐,日韩流行音乐 港台流行音乐 华语流行音乐 演唱会 音乐 音乐精选,5532072579
音乐,Kylie Houson猴姆 猴姆独家 欧美音乐 布兰妮 凯莉米洛 Britney Spears Lady Gaga ,1258256457
音乐,抽风 配音 古风,1744188571
音乐, 李胜贤 姜大声 东永裴 崔胜铉 权志龙 SEUNGRI TOP TAEYANG GDRAGON BIGBANG ,5181054371
音乐,视频电影 音乐 新闻热点 搞笑幽默 综艺娱乐,3963209263
音乐,musicwars billboard 英文歌 taylorswift 艾薇儿 布兰妮 欧美音乐 文艺 名人明星,3460516424
音乐,乐评人 音乐翻唱 音乐现场 颁奖典礼 欧美资讯 贾斯汀比伯 潮歌推荐 TaylorSwift JustinBieber 欧美音乐控 ,2770359791
音乐, 网购 乐观 时尚,2679808457
音乐,音樂 幽默笑话 听歌 八卦杂谈 搞笑幽默 ,5719065113
音乐,娱乐 HD 音乐 MV 插曲 live 高清,1774817377
音乐, 娱乐 真性情 混蛋一个,3002847684
音乐, 民谣 摇滚 爵士 经典音乐 流行音乐 小提琴 纯音乐 欧美音乐 钢琴 爱音乐 ,1895291251
音乐, 八卦 创意广告 街拍 电影 美剧控 新闻 时尚 欧美音乐 80后 ,3197269764
音乐,音乐迷 天蝎座 交响乐团 动漫控 小提琴控 大提琴控 钢琴黑白键 舞蹈芭蕾 音乐控与电影控 古典音乐 ,1195299925
