用户兴趣类别,标签,用户ID(oid)
体育,时尚 幽默 搞笑,3828654984
体育,宝马改装 大提琴 Sneaker BBOX,1648844612
体育,潮人 萨克斯风 dota 击剑 篮球,2010226570
体育,神话创造 大嘴文化 天蝎座 股骨头 三毛 文学 《体育世界》 罗纳尔多 编辑,1721297761
体育,女排球迷 球迷 体育 中国女排朱婷 女排朱婷 朱婷 女排主攻 中国女排 女排 名人明星,3173515672
体育,旅行 摄影 电影 足球 阅读 酒,1684502353
体育,游泳 运动 自由 90后,1609648201
体育,文艺 游戏动漫 美女 体育 娱乐,2662734267
体育,音乐 电影 花样滑冰运动员,1911237367
体育,麦迪 TracyMcGrady Basketball Pistons Philanthropy nba,2157238653
体育,80后 天蝎座 宅,1927706047
体育,电影 快樂 空间 广州恒大 旅游 足球运动员,1900022001
体育,跳水 周杰伦 王力宏,1926392052
体育,羽毛球 时尚 音乐 动机 期待 未来,1247685455
体育,自拍控 摄影 HelloKitty控 HelloKitty 音乐 街拍 游泳,1915458005
体育,足球 路虎览胜运动 蹦极 美食 NIKE 名表 凑热闹 吹牛,1803658131
体育, 贝克汉姆 小贝 Beckham 布鲁克林 足球 小七 ,3421165650
体育, 哈登 威少 麦迪 詹姆斯 库里 艾弗森 乔丹 科比 篮球技巧 篮球 ,1842136381
体育, 科比 詹姆斯 库里 韦德 麦迪 艾弗森 体育 体育资讯 NBA 篮球 ,5635855696
体育, 篮球 科比 搞笑 邓肯 马刺,5031234543
体育, 时尚 星座 幸运星座 星座占卜 星座运势 星座塔罗迷 星座达人 星座爱好者 星座迷 星座控 ,2128532481
体育,热点 决赛 射击 游泳 田径 篮球 足球 直播 新闻 体育 ,1691378173
体育, 体育资讯 曼联 切尔西 阿森纳 利物浦 英超 苏超 世界最佳联赛 曼城 ,2475369037
体育,街球 NBA 篮球 体育资讯,5437851984
体育, 麦迪 NBA 篮球,2174534013
体育, 奥运会 欧洲杯 娛樂 世界杯 散步 足球 篮球爱好者 羽毛球 ,1662953861
体育, 时尚 运动 数码 电影 睡觉 历史 娱乐 ,2097946410
体育, 蓝球 足球 德国队 世界杯 西班牙 巴西 意大利 阳光体育运动 世界体育 天天体育 ,1819446573
体育,体育 巴塞罗那 旅游 西班牙 自驾游 诺坎普 巴萨 ,2418842335
