用户兴趣类别,标签,用户ID(oid)
电视据,网络营销 传媒 媒体 ,3605618362
电视据,美剧 美食,5436414034
电视据,爱表演 想跳舞 不忘初心  ,1075715583
电视据,  旅游 游戏动漫 时尚 娱乐 IT数码,2938646977
电视据, 美剧重症患者 读书写字或奔跑 古典音乐控 露文青 抹茶控晚期 收藏癖 间歇性摄影控 非典型摩羯女,1628482500
电视据, 日剧 韩剧 追剧狂人 追剧控,1796118884
电视据, 剧照 资讯 片花 小说 传媒 演员 明星 剧片花 影视剧 ,3704673325
电视据, 名人 明星,3715606923
电视据,名人明星 旅游 视频音乐,3986147355
电视据,剧照 资讯 片花 小说 传媒 演员,3704673325
电视据,第四季 电影 神盾特工局资源,3809463097
电视据,娱乐 琅琊榜 明楼 伪装者 靳东 ,3191177564
电视据,明星艺人 影视物料 小说 文学 传媒 影视IP ,1696935581
电视据,娱乐八卦 明星资讯 卫视资讯 综艺节目资讯 电视剧资讯 ,3915748980
电视据,龙俊哼 名人明星,3994852055
电视据,八卦杂谈 美容服饰 搞笑幽默 ,5559031781
电视据,博学历史宅女90后,1964764947
电视据,导演 话剧演员 甄缳传 演员,2612321763
电视据,搞笑幽默、名人明星,2961140422
电视据,插画 韩国 画画 偶喜欢玩 文学 摄影爱好者 ,2930064127
电视据,视频 资讯 影视,5603263299
电视据, 电视剧 英国 英剧 卷福 Sherlock 神探夏洛克,1885109463
电视据,资源 百度韩剧吧 资讯 韩剧,5638992606
电视据,Rilakkuma控 毛球控 岚饭 mirai迷 眼镜腹黑控 柯南迷 天秤座A型女 推理小說迷 日劇迷 ,1719393191
电视据,AKB48 杰尼斯 樱井翔 天海佑希 新垣结衣 山下智久 Jpop 日剧 日剧控 日本 ,2275024227
电视据,吸血鬼日记控 美女 帅哥 时尚 吸血鬼日记 吸血鬼 电影 美剧 暮光之城迷,1907299322
电视据, 影视 文艺 娱乐 吐槽爱好者 剧评人,2472872571
电视据,娱乐八卦 娱乐资讯 泰剧 日剧 内地剧 最新韩剧 韩剧,2054853403
电视据, 心情 文字控 电视剧迷,1960731081
电视据,网络剧宣传 艺人宣传 小时代 电视剧 天娱 快乐女声 快乐男声 明星 芒果 湖南卫视,3022787077
